Model,Ablation,Accuracy_predict,Loss,Time_predict,MCC,AUC
KNN,problemall,0.8571428571428571,0.2600383573087797,0.18674468994140625,0.7032636776948774,0.8736767606842838
KNN,problem_gries,0.8571428571428571,0.3144914355956164,0.1487877368927002,0.70174017534218,0.8520671769856553
KNN,code_gries,0.8857142857142857,0.30307907201713596,0.14979290962219238,0.7779444736740649,0.8783330563382502
KNN,gries,0.8571428571428571,0.7653565536370465,0.11106753349304199,0.7290474309056693,0.800935069324067
KNN,problem_code,0.7428571428571429,1.2026496834969556,0.07589936256408691,0.48097197110408335,0.8338160842293906
KNN,code,0.9142857142857143,0.20748359524087878,0.039624929428100586,0.8317195657866148,0.9799598316193813
SVM,problemall,0.8,0.5351975409733363,0.23523664474487305,0.5681759430741397,0.7584075799687743
SVM,problem_gries,0.7714285714285715,0.6355756295573134,0.20293831825256348,0.502205606865622,0.7449502317031278
SVM,code_gries,0.8571428571428571,0.3964154550593098,0.19129467010498047,0.7043488327089981,0.9930328146262367
SVM,gries,0.8285714285714286,0.5243827526015272,0.13158226013183594,0.6532375333166035,0.8531767141441267
SVM,problem_code,0.8571428571428571,0.6210435998722373,0.18431735038757324,0.6969038952728474,0.4996681413166579
SVM,code,0.9142857142857143,0.4153890747370845,0.05115818977355957,0.8278141580834736,0.7482943594104309
MLP,problemall,0.8857142857142857,0.881377637386322,0.0034682750701904297,0.7687149140270526,0.8652482117893608
MLP,problem_gries,0.8571428571428571,1.903524398803711,0.002189159393310547,0.7041911181716715,0.8329292255650952
MLP,code_gries,0.8,1.0000815391540527,0.0023415088653564453,0.5912773336795273,0.8585029276891829
MLP,gries,0.8571428571428571,0.9343403577804565,0.002145051956176758,0.7175556127150616,0.9464236311153256
MLP,problem_code,0.8571428571428571,1.317024827003479,0.0017077922821044922,0.6940003733742952,0.6376190476190475
MLP,code,0.9714285714285714,0.17550893127918243,0.001432180404663086,0.9434843870463827,0.9947619047619047
Random Forest,problemall,0.8,0.48698443137299663,0.00864410400390625,0.5590396812926076,1.0
Random Forest,problem_gries,0.7714285714285715,0.5220066511929958,0.0060536861419677734,0.4709027946023316,0.9804372165532881
Random Forest,code_gries,0.8285714285714286,0.5770867415528702,0.008390426635742188,0.6262964791113548,0.8407874459885942
Random Forest,gries,0.8285714285714286,0.5583057724649848,0.006234169006347656,0.6420862409078028,0.858408118080669
Random Forest,problem_code,0.7714285714285715,0.6038807761024114,0.005205392837524414,0.4834937784152282,0.8656599995070492
Random Forest,code,0.8857142857142857,0.5550106764761491,0.006516456604003906,0.7628106086946927,0.9945188492063493
Voting,problemall,0.8857142857142857,0.3965710545395029,0.011130332946777344,0.7647928028552862,0.880952380952381
Voting,problem_gries,0.8,0.5581113892410432,0.01085042953491211,0.5565730498088816,0.8747569444444444
Voting,code_gries,0.8285714285714286,0.4650488277517786,0.010983467102050781,0.6493003227250923,0.7757512536012795
Voting,gries,0.8571428571428571,0.49169177828381755,0.011283397674560547,0.70276050320023,0.8354332144552661
Voting,problem_code,0.8285714285714286,0.46241217065798507,0.010272026062011719,0.6380027240305742,0.8460776062561777
Voting,code,0.9714285714285714,0.3014092763692683,0.01018977165222168,0.9433430952489882,0.9997569444444444
Stacking,problemall,0.8571428571428571,0.40330840536410384,0.011885404586791992,0.7041911181716715,0.8659134070294784
Stacking,problem_gries,0.8285714285714286,0.6310691176314871,0.01663827896118164,0.6346351669793114,0.8387736911552904
Stacking,code_gries,0.8857142857142857,0.5134769464668597,0.01172018051147461,0.7606104624063137,0.8326647058945195
Stacking,gries,0.8857142857142857,0.45884884380992463,0.011472702026367188,0.7687149140270526,0.8347863493476847
Stacking,problem_code,0.8285714285714286,0.6479507033495802,0.010040998458862305,0.6295662366690628,0.8739554011259676
Stacking,code,0.8285714285714286,0.5419813466659165,0.010144710540771484,0.6298318068252363,0.8267048423453703
