Problem Description,Python Code,Source,Description Error,Error Label
Count how many even numbers are up to n,def count_evens_buggy(n):\n    i = 0\n    count = 0\n    while i <= n:\n        if i % 2 == 0:\n            count += 1\n        # missing i += 1\n    return count,Inspired by CodeChef Learn Python (While Loop) exercises,missing increment leads to infinite loop,2
Sum numbers from 1 to n,def sum_to_n_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        total += i\n        i = i + 0\n    return total,Based on typical mistakes in Codeforces common mistakes blog,i is incorrectly incremented,2
Prompt user for numbers until 0 is entered,"def input_until_zero_buggy():\n    num = int(input('Enter number (0 to exit): '))\n    while num != 0:\n        print('Number:', num)\n        # missing update of num",Common error from GeeksforGeeks Python while loop exercises,number is never updated in the loop,2
Find first multiple of 7 greater than n,def first_multiple_7_buggy(n):\n    i = n + 1\n    while i % 7 != 0:\n        pass\n    return i,Typical error in CodeNet beginner loop problems,i not incremented,2
Calculate factorial of n,def factorial_buggy(n):\n    result = 1\n    while n > 1:\n        result *= n\n        n -= 2\n    return result,Inspired by classic factorial exercises,"decrement by 2, not 1",2
Count digits in a positive integer n,def count_digits_buggy(n):\n    count = 0\n    while n > 0:\n        n % 10\n        count += 1\n    return count,Inspired by digit counting problems in Codeforces and tutorials,n not updated inside the loop,2
Sum all even numbers up to n,def sum_evens_buggy(n):\n    total = 0\n    i = 2\n    while i < n:\n        total += i\n        i += 2\n    return total,"CodeChef/Codeforces summing problems, condition off-by-one",loop condition incorrect,1
Find a prime number using break,def find_prime_buggy():\n    num = 2\n    while True:\n        is_prime = True\n        divisor = 2\n        while divisor < num:\n            if num % divisor == 0:\n                is_prime = False\n            divisor += 1\n        break\n        if is_prime:\n            return num\n        num += 1,Inspired by break/continue loop errors from Python tutorials,break outside the if block,2
Print cubes of numbers from 1 to n,def print_cubes_buggy(n):\n    while i <= n:\n        print(i**3)\n        i += 1,"Common initialization error, based on CodeNet basic loops",i not initialized,0
Prompt for password until correct,def prompt_password_buggy():\n    password = input('Enter password: ')\n    while password != 'secret':\n        print('Incorrect')\n    print('Access granted'),Typical validation loop error from Python beginner tutorials,password requested only once,2
"Print numbers from 1 to n, but condition excludes n",def print_numbers_buggy(n):\n    i = 1\n    while i < n:\n        print(i)\n        i += 1,Common inclusive/exclusive error in loops (Codeforces),condition excludes n,1
Divide a number by 2 repeatedly until it's less than 1,def divide_repeatedly_buggy(n):\n    while n >= 1:\n        print(n)\n        n = n // 2,Inspired by CodeNet loop problems involving division,integer division and missing update,2
Sum all digits of n,def sum_digits_buggy(n):\n    total = 0\n    while n > 0:\n        total += n % 10\n        # missing n //= 10\n    return total,"Classic digit-processing error, Python/Codeforces",missing update of n,2
Count how many times 5 can be subtracted from n,def count_subtract_5_buggy(n):\n    count = 0\n    while n >= 5:\n        count += 1\n        # missing n -= 5\n    return count,Common mistake in decrement loops (CodeNet/Codeforces),n is not updated,2
Calculate power using while loop,"def power_buggy(base, exp):\n    result = 1\n    i = 0\n    while i < exp:\n        result *= base\n        # missing i += 1\n    return result",Power calculation errors in Codeforces/Python exercises,missing increment of i,2
Check if number is perfect,def is_perfect_buggy(n):\n    sum_div = 0\n    divisor = 1\n    while divisor < n:\n        if n % divisor == 0:\n            sum_div = divisor\n        # missing divisor += 1\n    return sum_div == n,"Perfect number mistakes, classic math loops",sum calculation and missing increment,2
Convert decimal to binary,def decimal_to_binary_buggy(n):\n    res = ''\n    while n > 0:\n        res = str(n % 2) + res\n        # missing n //= 2\n    return res,"Typical binary conversion loop, Codeforces/CodeNet",n not updated inside the loop,2
Print items in list until negative is found,def print_until_negative_buggy(lst):\n    i = 0\n    while i < len(lst):\n        print(lst[i])\n        break\n        if lst[i] < 0:\n            break\n        i += 1,Inspired by control-flow misplacement from Python lists tutorials,break outside the if block,2
Count multiples of 3 up to n,def count_mult_3_buggy(n):\n    i = 1\n    count = 0\n    while i <= n:\n        if i % 3 == 0:\n            pass\n        i += 1\n    return count,"Loops with missed accumulation, typical in beginners",count never updated,2
Print odd numbers up to n,def print_odds_buggy(n):\n    i = 1\n    while i <= n:\n        print(i)\n        i += 2\n        i += 1,"Increment logic error, Codeforces/CodeChef",i is incremented incorrectly,2
Sum the first n natural numbers,def sum_n_buggy(n):\n    i = 1\n    total = 0\n    while i < n:\n        total += i\n        i += 1\n    return total,"Classic off-by-one loop error, inspired by basic programming tasks",loop condition excludes n,1
Sum odd numbers up to n,def sum_odds_buggy(n):\n    total = 0\n    i = 1\n    while i <= n:\n        if i % 2 != 0:\n            total += i\n        i = i + 1 - 1\n    return total,"Odd number sum, increment bug, beginner mistakes",i increment incorrect,2
Count primes up to n,def count_primes_buggy(n):\n    count = 0\n    i = 2\n    while i < n:\n        if is_prime(i):\n            count += 1\n        i += 1\n    return count\n\ndef is_prime(num):\n    if num < 2:\n        return False\n    i = 2\n    while i < num:\n        if num % i == 0:\n            return False\n        i += 1\n    return True,Classic loop and condition error in prime counting,loop condition excludes n,1
Read and sum numbers until a negative is entered,def sum_until_negative_buggy():\n    total = 0\n    num = int(input('Enter number (negative to stop): '))\n    while num >= 0:\n        total += num\n        # missing prompt for new num\n    return total,"Missing input update bug, shown in tutorials (GeeksforGeeks)",does not read new number inside loop,2
Find LCM of two numbers,"def lcm_buggy(a, b):\n    num = max(a, b)\n    while True:\n        if num % a == 0 and num % b == 0:\n            return num\n        # missing num += 1","LCM calculation, common loop bug (CodeNet/Codeforces)",missing increment of candidate,2
Print Fibonacci sequence up to n terms,"def fibonacci_buggy(n):\n    a, b = 0, 1\n    i = 0\n    while i < n:\n        print(a)\n        b = a + b\n        a = b\n        i += 1","Sequence and assignment bug, inspired by classic Fibonacci problems",assignments out of order,2
Count multiples of 5 up to n,def count_mult_5_buggy(n):\n    i = 1\n    count = 0\n    while i <= n:\n        if i % 5 == 0:\n            count += 1\n        # missing i += 1\n    return count,"Missing i update, common beginner error, CodeChef-style",i not updated,2
Find GCD of two numbers using Euclid algorithm,"def gcd_buggy(a, b):\n    while a != b:\n        if a > b:\n            a -= b\n        else:\n            b -= a\n    return a","Euclid's algorithm off-by-one/condition bug, CodeNet",condition may cause infinite loop,1
Prompt user for positive numbers until 5 are entered,def count_positives_buggy():\n    count = 0\n    while count < 5:\n        num = int(input('Enter positive number: '))\n        if num > 0:\n            # missing count += 1\n            pass\n    print('Five positives entered'),"Input accumulation/counting error, basic programming tutorials",counter never incremented,2
Sum multiples of 4 between 1 and n,def sum_mult_4_buggy(n):\n    i = 1\n    while i <= n:\n        sum = 0\n        if i % 4 == 0:\n            sum += i\n        i += 1\n    return sum,"Sum variable scope bug, inspired by sum/accumulation patterns",sum variable is reset inside the loop,2
Print the factorial of n,def buggy_factorial():\n    while n > 0:\n        print(n)\n        n -= 1,"Initialization errors are a classic mistake (CodeNet, basic programming tasks)",n is not initialized before the while loop,0
Reverse a list,def buggy_reverse(lst):\n    # missing i = len(lst) - 1\n    while j >= 0:\n        print(lst[j])\n        j -= 1,"Initialization and condition errors, common in introductory coding (Codeforces, basic exercises)",missing initialization and undefined variable in condition,3
Print numbers from a to b,"def buggy_print_range(b):\n    # missing a = 1\n    while a <= b:\n        a = 1   # should increment, not reset\n        print(a)\n        a += 1",Initialization and update errors frequently seen in beginner loops (CodeNet),missing initialization and wrong update in loop body,4
Sum even numbers in a list,def buggy_sum_evens(lst):\n    i = 0\n    sum_evens = 0\n    while i <= len(lst):  # should be i < len(lst)\n        if lst[i] % 2 == 0:\n            pass  # should add to sum_evens\n        i += 1,"Condition and update errors, drawn from typical contest bug lists (Codeforces)",wrong condition and no accumulation in loop body,5
Count numbers divisible by 3,def buggy_count_mult_3(n):\n    while i < n:   # missing i initialization\n        count = 0  # resets inside loop\n        if i % 3 == 0:\n            pass  # should increment count\n        i += 1,"Simultaneous initialization, condition, and body errors inspired by competition prep (CodeNet)","multiple errors in initialization, condition and loop body",6
